"Country","Pollution Index","GDP/Capita","WB Region","GDP"
"Solomon Islands",0.0975609756097561,1521.29430261452,"East Asia & Pacific",930032622.843267
"South Africa",0.7560975609756098,7524.51118439041,"Sub - Saharan Africa",426768874668.815
"Spain",0.7804878048780488,32405.7508143881,"Europe & Central Asia",1509201534288.7
"Sri Lanka",0.6219512195121951,3842.29599928337,"South Asia",82394195408.6326
"Sudan",0.573170731707317,1959.15352249776,"Sub - Saharan Africa",79411016248.064
"Suriname",0.06097560975609757,8043.46212394566,"Latin America and the Caribbean",4531702647.55523
"Sweden",0.34146341463414637,56935.1882703156,"Europe & Central Asia",573208900097.34
"Switzerland",0.5365853658536586,76667.4440397307,"Europe & Central Asia",649067884586.909
"Tajikistan",0.3780487804878049,1015.4721888036,"Europe & Central Asia",9059375703.27769
"Tanzania",0.5,900.523016689198,"Sub - Saharan Africa",50098249469.476
"Thailand",0.6585365853658537,6125.66028889635,"East Asia & Pacific",422900351828.266
"Timor-Leste",0.5365853658536586,2672.09709624942,"East Asia & Pacific",3463868858.93619
"Togo",0.5975609756097561,577.382256121762,"Sub - Saharan Africa",4502250154.26713
"Trinidad and Tobago",0.573170731707317,15350.8505836628,"Latin America and the Caribbean",21017233305.3574
"Tunisia",0.926829268292683,4303.9636111504,"Middle East & North Africa",49633854967.165
"Turkey",0.7804878048780488,14933.2652100066,"Europe & Central Asia",1205786798047.284
"Turkmenistan",0.6707317073170732,7317.54950612294,"Europe & Central Asia",42134998872.4689
"Uganda",0.6463414634146342,666.60583527046,"Sub - Saharan Africa",28572697919.7527
"Ukraine",0.8048780487804879,2991.62931126967,"Europe & Central Asia",127100786329.956
"United Arab Emirates",0.6951219512195121,41197.1687786643,"Middle East & North Africa",387259360108.918
"United Kingdom",0.6585365853658537,42514.487450259,"Europe & Central Asia",2806903096896.071
"United States",0.524390243902439,53128.5396999252,"North America",17304984279400
"Uruguay",0.4634146341463415,14362.5612139255,"Latin America and the Caribbean",49647783476.237
"Uzbekistan",0.5853658536585366,2031.04775414078,"Europe & Central Asia",65779949822.9082
"Vanuatu",0.10975609756097561,2939.52070657415,"East Asia & Pacific",812024958.066869
"Venezuela, RB",0.3170731707317073,13709.0430546282,"Latin America and the Caribbean",421393747431.435
"Vietnam",0.573170731707317,1834.65159472369,"East Asia & Pacific",175284081081.177
"West Bank and Gaza",0.7560975609756098,2494.05701581982,"Middle East & North Africa",12136735451.64
"Yemen, Rep.",0.4268292682926829,432.386103944614,"Middle East & North Africa",11927030389.4484
"Zambia",0.3902439024390244,1646.14383527275,"Sub - Saharan Africa",28139396718.851
"Zimbabwe",0.5975609756097561,927.398657961914,"Sub - Saharan Africa",15329810785.8393
