"Country","Total Population","GDP/Capita","WB Region","GDP"
"St. Vincent and the Grenadines",109897,6741.82706709859,"Latin America and the Caribbean",740906569.192933
"Sudan",40533330,1959.15352249776,"Sub - Saharan Africa",79411016248.064
"Suriname",563402,8043.46212394566,"Latin America and the Caribbean",4531702647.55523
"Sweden",10067744,56935.1882703156,"Europe & Central Asia",573208900097.34
"Switzerland",8466017,76667.4440397307,"Europe & Central Asia",649067884586.909
"Tajikistan",8921343,1015.4721888036,"Europe & Central Asia",9059375703.27769
"Tanzania",57310019,900.523016689198,"Sub - Saharan Africa",50098249469.476
"Thailand",69037513,6125.66028889635,"East Asia & Pacific",422900351828.266
"Timor-Leste",1296311,2672.09709624942,"East Asia & Pacific",3463868858.93619
"Togo",7797694,577.382256121762,"Sub - Saharan Africa",4502250154.26713
"Tonga",108020,3862.30441932661,"East Asia & Pacific",417206123.37566
"Trinidad and Tobago",1369125,15350.8505836628,"Latin America and the Caribbean",21017233305.3574
"Tunisia",11532127,4303.9636111504,"Middle East & North Africa",49633854967.165
"Turkey",80745020,14933.2652100066,"Europe & Central Asia",1205786798047.284
"Turkmenistan",5758075,7317.54950612294,"Europe & Central Asia",42134998872.4689
"Tuvalu",11192,3617.52894591096,"East Asia & Pacific",40487383.9626355
"Uganda",42862958,666.60583527046,"Sub - Saharan Africa",28572697919.7527
"Ukraine",44831159,2991.62931126967,"Europe & Central Asia",127100786329.956
"United Arab Emirates",9400145,41197.1687786643,"Middle East & North Africa",387259360108.918
"United Kingdom",66022273,42514.487450259,"Europe & Central Asia",2806903096896.071
"United States",325719178,53128.5396999252,"North America",17304984279400
"Uruguay",3456750,14362.5612139255,"Latin America and the Caribbean",49647783476.237
"Uzbekistan",32387200,2031.04775414078,"Europe & Central Asia",65779949822.9082
"Vanuatu",276244,2939.52070657415,"East Asia & Pacific",812024958.066869
"Venezuela, RB",31977065,13709.0430546282,"Latin America and the Caribbean",421393747431.435
"Vietnam",95540800,1834.65159472369,"East Asia & Pacific",175284081081.177
"Virgin Islands (U.S.)",107268,29389.0576736405,"Latin America and the Caribbean",3165495402.02782
"West Bank and Gaza",4684777,2494.05701581982,"Middle East & North Africa",12136735451.64
"Yemen, Rep.",28250420,432.386103944614,"Middle East & North Africa",11927030389.4484
"Zambia",17094130,1646.14383527275,"Sub - Saharan Africa",28139396718.851
"Zimbabwe",16529904,927.398657961914,"Sub - Saharan Africa",15329810785.8393
